trace_id,span_id,attribute_name,attribute_value
4f5eafd5f04d44427f103d1a87467f18,d0387df61e6fa89e,path.id,safeReadLines:missing
4f5eafd5f04d44427f103d1a87467f18,d0387df61e6fa89e,path.function,safeReadLines
4f5eafd5f04d44427f103d1a87467f18,d0387df61e6fa89e,path.route,ENOENT branch
4b3226ceb806113550381ae4a003735e,366eee0c8b4fad2d,path.id,safeReadLines:happy
4b3226ceb806113550381ae4a003735e,366eee0c8b4fad2d,path.function,safeReadLines
4b3226ceb806113550381ae4a003735e,366eee0c8b4fad2d,path.route,success branch
29ee3580675e1b2dced3b555834f0484,da45bfac546f0bdf,path.id,safeReadLines:permission
29ee3580675e1b2dced3b555834f0484,da45bfac546f0bdf,path.function,safeReadLines
29ee3580675e1b2dced3b555834f0484,da45bfac546f0bdf,path.route,EACCES branch
da7171abb2a46490c980db3fe3bd2533,ffb6b6adce44de9b,path.id,safeReadLines:decode
da7171abb2a46490c980db3fe3bd2533,ffb6b6adce44de9b,path.function,safeReadLines
da7171abb2a46490c980db3fe3bd2533,ffb6b6adce44de9b,path.route,decode branch
a0cf82cd9b31f34db48dc7465d8761f5,b409e7be32978ae1,path.id,safeReadLines:rethrow
a0cf82cd9b31f34db48dc7465d8761f5,b409e7be32978ae1,path.function,safeReadLines
a0cf82cd9b31f34db48dc7465d8761f5,b409e7be32978ae1,path.route,rethrow branch
bf103ff27b3e75bdb06d0b9507fab233,986a34269fbfad47,path.id,parseJsonSafely:valid
bf103ff27b3e75bdb06d0b9507fab233,986a34269fbfad47,path.function,parseJsonSafely
bf103ff27b3e75bdb06d0b9507fab233,986a34269fbfad47,path.route,valid JSON branch
4854752f62872779256f767cd38929b6,20f9925ef1128eb1,path.id,parseJsonSafely:invalid
4854752f62872779256f767cd38929b6,20f9925ef1128eb1,path.function,parseJsonSafely
4854752f62872779256f767cd38929b6,20f9925ef1128eb1,path.route,catch branch
0cc8217ccdd477ed8d5ac5a10d5e70fa,2c619b4557d943c2,path.id,divideSafely:success
0cc8217ccdd477ed8d5ac5a10d5e70fa,2c619b4557d943c2,path.function,divideSafely
0cc8217ccdd477ed8d5ac5a10d5e70fa,2c619b4557d943c2,path.route,success branch
606d662731f17607b94f8f0d736d7e1a,bd67263e78156f8b,path.id,divideSafely:zero
606d662731f17607b94f8f0d736d7e1a,bd67263e78156f8b,path.function,divideSafely
606d662731f17607b94f8f0d736d7e1a,bd67263e78156f8b,path.route,RangeError branch
a35dbbbbfc2ff0004a86026a59024b52,a1ec1a874425abf6,path.id,divideSafely:rethrow
a35dbbbbfc2ff0004a86026a59024b52,a1ec1a874425abf6,path.function,divideSafely
a35dbbbbfc2ff0004a86026a59024b52,a1ec1a874425abf6,path.route,TypeError rethrow branch
1273c6126f74ad1dec3d2b09bf482b07,5e5aeff097e1cd56,path.id,retryOperation:success-after-retry
1273c6126f74ad1dec3d2b09bf482b07,5e5aeff097e1cd56,path.function,retryOperation
1273c6126f74ad1dec3d2b09bf482b07,5e5aeff097e1cd56,path.route,retry success branch
d036c1eee384e9d288c5a8da3e199039,00c27f6f2d08aff8,path.id,retryOperation:final-failure
d036c1eee384e9d288c5a8da3e199039,00c27f6f2d08aff8,path.function,retryOperation
d036c1eee384e9d288c5a8da3e199039,00c27f6f2d08aff8,path.route,final failure branch
5f0db8103a99dd3f5ca4a7d2ea32d32b,9d69022c2d0db40e,path.id,classifyHttpStatus:success
5f0db8103a99dd3f5ca4a7d2ea32d32b,9d69022c2d0db40e,path.function,classifyHttpStatus
5f0db8103a99dd3f5ca4a7d2ea32d32b,9d69022c2d0db40e,path.route,2xx branch
a495a6cb1521838311ecff076a32a02e,2eaa75865b458a6e,path.id,classifyHttpStatus:client
a495a6cb1521838311ecff076a32a02e,2eaa75865b458a6e,path.function,classifyHttpStatus
a495a6cb1521838311ecff076a32a02e,2eaa75865b458a6e,path.route,4xx branch
5ae8cc871c49b719a274d12ac38f5086,d00857159751ea9e,path.id,classifyHttpStatus:server
5ae8cc871c49b719a274d12ac38f5086,d00857159751ea9e,path.function,classifyHttpStatus
5ae8cc871c49b719a274d12ac38f5086,d00857159751ea9e,path.route,5xx branch
08101b435f6b500a12f5ae67cbf68bfb,6ca481ea51c82ea2,path.id,classifyHttpStatus:unknown
08101b435f6b500a12f5ae67cbf68bfb,6ca481ea51c82ea2,path.function,classifyHttpStatus
08101b435f6b500a12f5ae67cbf68bfb,6ca481ea51c82ea2,path.route,unknown branch
