"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","3","Each class should declare at least one constructor","Code Style","AtLeastOneConstructor"
"2","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Avoid variables with short names like a","Code Style","ShortVariable"
"3","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Parameter 'a' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"4","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Avoid variables with short names like b","Code Style","ShortVariable"
"5","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Parameter 'b' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"6","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Avoid variables with short names like c","Code Style","ShortVariable"
"7","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Parameter 'c' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"8","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Avoid variables with short names like d","Code Style","ShortVariable"
"9","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","4","Parameter 'd' is not assigned and could be declared final","Code Style","MethodArgumentCouldBeFinal"
"10","cases","D:\Research in Missing Metrics\Java\Code Smells Count\workspace\java_code_smells_benchmark\src\cases\AvoidDeeplyNestedIfStmtsDemo.java","3","6","This if statement could be combined with its parent","Design","CollapsibleIfStatements"
