element_path,tag,depth,attributes,text
report,report,0,name=JaCoCo Training Subject,
report/counter[@type=INSTRUCTION],counter,1,type=INSTRUCTION; missed=2; covered=128,
report/counter[@type=BRANCH],counter,1,type=BRANCH; missed=5; covered=27,
report/counter[@type=LINE],counter,1,type=LINE; missed=0; covered=39,
report/counter[@type=COMPLEXITY],counter,1,type=COMPLEXITY; missed=4; covered=24,
report/counter[@type=METHOD],counter,1,type=METHOD; missed=0; covered=12,
report/counter[@type=CLASS],counter,1,type=CLASS; missed=0; covered=3,
report/sessioninfo,sessioninfo,1,dump=1784097026410; id=VICHU-73f6b911; start=1784097023564,
report/package,package,1,name=com/testable/training,
report/package/counter[@type=INSTRUCTION],counter,2,type=INSTRUCTION; missed=2; covered=128,
report/package/counter[@type=BRANCH],counter,2,type=BRANCH; missed=5; covered=27,
report/package/counter[@type=LINE],counter,2,type=LINE; missed=0; covered=39,
report/package/counter[@type=COMPLEXITY],counter,2,type=COMPLEXITY; missed=4; covered=24,
report/package/counter[@type=METHOD],counter,2,type=METHOD; missed=0; covered=12,
report/package/counter[@type=CLASS],counter,2,type=CLASS; missed=0; covered=3,
report/package/class,class,2,name=com/testable/training/DataFlowSample; sourcefilename=DataFlowSample.java,
report/package/class/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=0; covered=26,
report/package/class/counter[@type=BRANCH],counter,3,type=BRANCH; missed=0; covered=6,
report/package/class/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=10,
report/package/class/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=0; covered=6,
report/package/class/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=3,
report/package/class/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/class/method,method,3,desc=()V; line=3; name=<init>,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=3,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=1,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(IZ)I; line=6; name=compute,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=12,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=0; covered=2,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=4,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=2,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(I)Ljava/lang/String;; line=14; name=route,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=11,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=0; covered=4,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=5,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=3,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class,class,2,name=com/testable/training/OrderService; sourcefilename=OrderService.java,
report/package/class/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=2; covered=68,
report/package/class/counter[@type=BRANCH],counter,3,type=BRANCH; missed=4; covered=16,
report/package/class/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=22,
report/package/class/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=3; covered=13,
report/package/class/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=6,
report/package/class/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
report/package/class/method,method,3,desc=(Lcom/testable/training/PaymentValidator;)V; line=7; name=<init>,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=6,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=3,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(ZZI)Ljava/lang/String;; line=12; name=processOrder,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=16,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=1; covered=9,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=5,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=1; covered=5,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(I)I; line=22; name=sumLoop,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=15,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=0; covered=2,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=4,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=2,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(IZZ)Ljava/lang/String;; line=30; name=nestedDecision,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=2; covered=13,
report/package/class/method/counter[@type=BRANCH],counter,4,type=BRANCH; missed=3; covered=5,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=5,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=2; covered=3,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(Ljava/lang/String;)Ljava/lang/String;; line=41; name=handleWithFallback,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=8,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=3,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class/method,method,3,desc=(Ljava/lang/String;)Ljava/lang/String;; line=48; name=crossModuleFlow,
report/package/class/method/counter[@type=INSTRUCTION],counter,4,type=INSTRUCTION; missed=0; covered=10,
report/package/class/method/counter[@type=LINE],counter,4,type=LINE; missed=0; covered=2,
report/package/class/method/counter[@type=COMPLEXITY],counter,4,type=COMPLEXITY; missed=0; covered=1,
report/package/class/method/counter[@type=METHOD],counter,4,type=METHOD; missed=0; covered=1,
report/package/class,class,2,name=com/testable/training/PaymentValidator; sourcefilename=PaymentValidator.java,
report/package/class/counter[@type=INSTRUCTION],counter,3,type=INSTRUCTION; missed=0; covered=34,
report/package/class/counter[@type=BRANCH],counter,3,type=BRANCH; missed=1; covered=5,
report/package/class/counter[@type=LINE],counter,3,type=LINE; missed=0; covered=7,
report/package/class/counter[@type=COMPLEXITY],counter,3,type=COMPLEXITY; missed=1; covered=5,
report/package/class/counter[@type=METHOD],counter,3,type=METHOD; missed=0; covered=3,
report/package/class/counter[@type=CLASS],counter,3,type=CLASS; missed=0; covered=1,
