file,line,column,type,symbol,message,message-id,confidence
Python\Code Smells Count\workspace\code_smells_benchmark\cases\clean.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\duplicate_code_a.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\duplicate_code_b.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,4,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,4,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,8,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,8,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,12,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,12,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,16,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,16,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,20,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,20,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,24,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,24,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,28,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,28,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,32,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_ancestors.py,32,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_arguments.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_arguments.py,4,0,refactor,too-many-arguments,Too many arguments (8/5),R0913,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_arguments.py,4,0,refactor,too-many-positional-arguments,Too many positional arguments (8/5),R0917,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_boolean_expressions.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_boolean_expressions.py,4,0,refactor,too-many-arguments,Too many arguments (6/5),R0913,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_boolean_expressions.py,4,0,refactor,too-many-positional-arguments,Too many positional arguments (6/5),R0917,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_boolean_expressions.py,5,7,refactor,too-many-boolean-expressions,Too many boolean expressions in if statement (6/5),R0916,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_branches.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_branches.py,4,0,refactor,too-many-return-statements,Too many return statements (15/6),R0911,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_branches.py,4,0,refactor,too-many-branches,Too many branches (14/12),R0912,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_instance_attributes.py,4,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_instance_attributes.py,4,0,refactor,too-many-instance-attributes,Too many instance attributes (10/7),R0902,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_instance_attributes.py,4,0,refactor,too-few-public-methods,Too few public methods (0/2),R0903,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_locals.py,21,0,convention,line-too-long,Line too long (104/100),C0301,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_locals.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_locals.py,4,0,refactor,too-many-locals,Too many local variables (17/15),R0914,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_nested_blocks.py,4,0,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_nested_blocks.py,5,4,refactor,too-many-nested-blocks,Too many nested blocks (6/5),R1702,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,4,0,convention,missing-class-docstring,Missing class docstring,C0115,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,5,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
Python\Code Smells Count\workspace\code_smells_benchmark\cases\too_many_public_methods.py,8,4,convention,missing-function-docstring,Missing function or method docstring,C0116,
