File Path,Rule ID,Rule Name,Plugin,Severity,Message,Line,Column,End Line,End Column,Node Type,Source Code,Fix Available
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,1,16,1,44,CallExpression,"const tracer = require(""./tracing.aspecto"")(""todo-service"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,no-undef,no-undef,eslint,error,'require' is not defined.,1,16,1,23,Identifier,"const tracer = require(""./tracing.aspecto"")(""todo-service"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,2,17,2,35,CallExpression,"const express = require(""express"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,no-undef,no-undef,eslint,error,'require' is not defined.,2,17,2,24,Identifier,"const express = require(""express"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,3,25,3,43,CallExpression,"const { MongoClient } = require(""mongodb"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,no-undef,no-undef,eslint,error,'require' is not defined.,3,25,3,32,Identifier,"const { MongoClient } = require(""mongodb"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,sonarjs/x-powered-by,x-powered-by,eslint-plugin-sonarjs,error,This framework implicitly discloses version information by default. Make sure it is safe here.,5,7,5,10,Identifier,const app = express();,No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\index.js,no-undef,no-undef,eslint,error,'console' is not defined.,32,5,32,12,Identifier,    console.log(`Example app listening on port ${port}`);,No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,2,22,2,57,CallExpression,"const { Resource } = require(""@opentelemetry/resources"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,no-undef,no-undef,eslint,error,'require' is not defined.,2,22,2,29,Identifier,"const { Resource } = require(""@opentelemetry/resources"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,3,40,3,86,CallExpression,"const { SemanticResourceAttributes } = require(""@opentelemetry/semantic-conventions"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,no-undef,no-undef,eslint,error,'require' is not defined.,3,40,3,47,Identifier,"const { SemanticResourceAttributes } = require(""@opentelemetry/semantic-conventions"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,4,33,4,73,CallExpression,"const { SimpleSpanProcessor } = require(""@opentelemetry/sdk-trace-base"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,no-undef,no-undef,eslint,error,'require' is not defined.,4,33,4,40,Identifier,"const { SimpleSpanProcessor } = require(""@opentelemetry/sdk-trace-base"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,@typescript-eslint/no-require-imports,no-require-imports,@typescript-eslint,error,A `require()` style import is forbidden.,5,32,5,72,CallExpression,"const { NodeTracerProvider } = require(""@opentelemetry/sdk-trace-node"");",No
D:\Research in Missing Metrics\workspace\typescript-tool-testing-eslint-eslint-plugin-sonarjs\node\tracing.aspecto.js,no-undef,no-undef,eslint,error,'require' is not defined.,5,32,5,39,Identifier,"const { NodeTracerProvider } = require(""@opentelemetry/sdk-trace-node"");",No
